地铁,总价,单价,建筑面积,室,厅,毛坯,简装,精装,东,东北,东南,南,西,西北,西南,中楼层,低楼层,地下室,底层,顶层,高楼层
1.0,658.0,88919.0,74.0,2.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0
1.0,670.0,83189.0,80.54,2.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0
0.0,1820.0,123962.0,146.82,3.0,2.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
1.0,728.0,53081.0,137.15,3.0,2.0,0,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,3180.0,87623.0,362.92,6.0,2.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
0.0,1795.0,140597.0,127.67,3.0,2.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0
0.0,676.0,85021.0,79.51,3.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
0.0,839.0,109274.0,76.78,3.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0
1.0,799.0,81125.0,98.49,2.0,2.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,1,0,0,0,0
0.0,1365.0,54752.0,249.31,4.0,2.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0
1.0,2580.0,144595.0,178.43,3.0,2.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,1180.0,99528.0,118.56,3.0,1.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,2160.0,132646.0,162.84,4.0,2.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
0.0,1598.0,112774.0,141.7,3.0,2.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,1545.0,108620.0,142.24,3.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1
1.0,1255.0,82992.0,151.22,3.0,2.0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
1.0,660.0,126196.0,52.3,2.0,1.0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,385.0,105683.0,36.43,1.0,0.0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,530.0,75932.0,69.8,2.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1
0.0,615.0,102160.0,60.2,2.0,1.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
1.0,528.0,125386.0,42.11,1.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,1230.0,104300.0,117.93,2.0,1.0,0,1,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1
1.0,660.0,102533.0,64.37,2.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,629.0,102778.0,61.2,3.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,428.0,98166.0,43.6,1.0,1.0,0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,751.0,156459.0,48.0,2.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0
0.0,730.0,75034.0,97.29,2.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0
0.0,615.0,117367.0,52.4,2.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0
0.0,579.0,63501.0,91.18,2.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,598.0,110741.0,54.0,2.0,1.0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0
0.0,1130.0,115084.0,98.19,3.0,1.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
1.0,1750.0,91590.0,191.07,3.0,1.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
0.0,403.0,76096.0,52.96,1.0,1.0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0
1.0,885.0,108816.0,81.33,2.0,1.0,0,0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
1.0,460.0,90374.0,50.9,2.0,1.0,1,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0,0
1.0,818.0,119104.0,68.68,3.0,1.0,0,1,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1
1.0,780.0,66400.0,117.47,3.0,1.0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1
0.0,840.0,117978.0,71.2,3.0,1.0,0,0,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0,0
